Status,Species,Prob.Rem,Site,Pyruvate,Alanine/Sarcosine,Lactate,Dimethylglycine,Serine,Glycerate,Uracil,Creatinine,Proline,Fumarate,Valine,Succinate/Methylmalonate,Homoserine/Threonine,Nicotinate,Taurine,Thymine,Pyroglutamic acid,Citraconate,N-Acetyl-beta-alanine,Leucine/Isoleucine,Asparagine,Ornithine,Aspartate,Malate,Homocysteine,Adenine,Hypoxanthine,Salicylate,Hydroxybenzoate,Histidinol,alpha-Ketoglutarate,Glutamine,Lysine,O-Acetyl-L-serine,Glutamate,2-Hydroxy-2-methylsuccinate,Methionine,3-Methylphenylacetic acid,Guanine,Xanthine,Vanillin,Hydroxyphenylacetate,2_3-Dihydroxybenzoate,Histidine,Orotate,Allantoin,Indole-3-carboxylate,2-Aminoadipate,Carnitine,Phenylpyruvate,Phenylalanine,Phenyllactic acid,Uric acid,3_4-Dihydroxyphenylacetate (DOPAC),Cysteate,1-Methylhistidine,Sulfolactate,Glycerone phosphate,D-Glyceraldehdye 3-phosphate,sn-Glycerol 3-phosphate,Aconitate,N-Acetylornithine,Arginine,Citrulline,Ascorbate,2-Isopropylmalate,Glucosamine,Hydroxyphenylpyruvate,myo-Inositol,Tyrosine,Homovanillic acid (HVA),Homocysteic acid,3-Phosphoglycerate,N-Acetylglutamine,Acetyllysine,Kynurenic acid,N-Acetylglutamate,Citrate/isocitrate,2-Dehydro-D-gluconate,D-Gluconate,Creatinol-O-phosphate,D-Erythrose 4-phosphate,Tryptophan,Kynurenine,D-Glucarate,Deoxyribose phosphate,Pantothenate,N-Acetylglucosamine,Deoxyuridine,Ribose phosphate,Thymidine,Cytidine,Uridine,Glucosamine phosphate,Glucose 6-phosphate,Glucose 1-phosphate,Thiamine,Adenosine,Inosine,1-Methyladenosine,Guanosine,Xanthosine,Ophthalmate,Sedoheptulose 1/7-phosphate,N-Acetylglucosamine 1/6-phosphate,Glutathione,dTMP,CMP,UMP,Trehalose/Sucrose/Cellobiose,AMP/dGMP,IMP,S-Adenosyl-L-methioninamine,GMP,Sedoheptoluse bisphosphate,S-Adenosyl-L-homocysteine,Trehalose 6-phosphate,CDP-ethanolamine,UDP-N-acetylglucosamine,Glutathione disulfide,NAD+
endemic,lancifolium,0.107,TB,1.91E+07,5604856,1.52E+07,2121069,6247380,6.84E+07,224740.9,681.5976,427837.6,2.46E+07,7209254,1.26E+07,4689268,550717.5,57910.23,37455.45,5970402,432491.2,537115.9,1.19E+07,6.89E+07,986514.8,1.67E+07,4.76E+08,22844.65,4.05E+07,68000.47,289341.2,190080.3,1571.221,1.25E+07,8888936,358245.5,58749.11,1.74E+07,145851.2,1505432,119954.9,33016.79,0,59487.77,1.06E+07,35430.71,6837996,96814.5,33082.71,29470.18,94708.4,37805.2,233249.6,2.18E+07,37930.56,9718.782,76891.06,8884.308,8335.353,365296.8,1949.506,1949.506,4276636,1713053,546451.9,1.89E+07,667887.8,7515.166,4971598,222672.5,879170.7,4385280,6.53E+07,34810.99,41582.75,7122.684,87638.35,661795.4,33502.14,1906544,1.17E+07,459249.8,7594658,101672.3,84608.2,1.03E+07,832.0519,20464.01,1328.954,1.95E+07,422428.1,8703.887,56677.03,46227.31,1050753,207459,14456.05,571470.1,307884.7,445124.9,39070.79,1349703,321884.2,1747152,41207.23,3198.802,5079.136,121778.2,116500.1,46471.04,49812.18,293115.8,1041730,2161022,85081.88,43471.97,30594.44,2601.826,15077.18,46639.16,84447,1052720,36736.18,18677.42
endemic,lancifolium,0.107,TB,8346788,3225865,1.27E+07,3777022,4796750,6.14E+07,293560,1514.507,687216.2,1.03E+07,3437366,9494119,3156807,1350264,92533.66,41590.08,6197142,522305.3,487899,8660752,2.08E+07,479238.3,2.13E+07,3.21E+08,7507.312,1.97E+07,19364.44,258109.5,375155.1,1276.977,1.69E+07,5532434,294508.9,27971.13,2.14E+07,49029.41,1683583,142017.5,67947.95,3643.188,56656.86,3994407,21494.17,3252365,161320.5,29430.51,28898.21,29738.75,25353.44,55928.25,1.04E+07,30735.4,21087.96,67623.27,8604.323,15810.74,204320,1114.142,1114.142,3688637,2197681,275933.1,1.02E+07,447961.5,10193.11,9517204,283324.1,780070.2,2481796,4.31E+07,60979.76,54768.28,18126.05,32738.04,158718.8,49063.48,1145012,1.44E+07,286317.2,6240710,80788.69,64429.27,1.14E+07,1235.763,19872.04,4240.082,8209850,425961.9,13588.76,83690.36,91544.94,806550.3,63276.83,4874.227,274452.7,169412.1,29366.68,31909.39,200853,597758.9,1152686,71157.76,18225.62,3024.885,232416,97793.04,60241,78333.59,111265.7,8429959,2143567,25044.81,273795.4,19026.3,7987.722,30680.78,42030.35,38138.11,1158912,1084472,21363.57
endemic,lancifolium,0.107,TB,1.66E+07,5689448,1.71E+07,1733311,5331194,6.19E+07,85076.66,0,386116.9,1.55E+07,5600824,8154634,3943726,300196.5,42913.2,24652.18,4882774,316977.9,474247.9,9312209,5.76E+07,719468,9092476,3.97E+08,19934.29,3.15E+07,84389.83,321002.9,189647.7,626.2263,6108190,5797020,265094.7,53680.48,1.12E+07,31508.2,788373.3,165278.7,24633.58,0,68475.3,9891057,3064.389,4754060,85421.38,28422.91,22010.87,54367.64,20977.74,182335.8,1.47E+07,26973.16,11253.9,75485.62,3609.917,9169.438,165866.5,2438.93,2438.93,3318403,1078037,395481.1,1.63E+07,497449.3,10630.3,2270121,168611.1,745010.2,3897163,4.37E+07,10894.45,29553.47,5863.836,59964.58,405101.1,22308.32,1014458,7665904,394240.9,5257870,19004.38,68293.78,7744070,734.6768,2149.031,3438.84,1.40E+07,356044.2,6266.026,28263.06,45661.71,814359.5,206107.1,8445.337,399588.8,197580.5,329198.2,65494.64,1094264,280576.2,1822099,26722.05,1183.467,2401.013,79226.47,0,89510.25,40806.42,286138.2,877989.8,8688199,220277,290189.2,34069.44,0,7451.405,20081.28,81851.68,452726,33777.25,6562.217
endemic,lancifolium,0.107,TB,3376461,2530898,1.18E+07,1069355,2860874,2.35E+07,86884.03,2094.192,377672.1,1385179,2075264,1589717,1586474,192261,81557.12,16628.47,2990221,203558.1,154907.7,3110117,1.11E+07,150917.9,5747048,8.99E+07,4356.11,8517640,136941.9,273661,145289.3,0,1201543,2419752,213355.3,12694.12,3025267,25125.18,785590.7,165486,44760.95,0,56838.75,881299.7,1064.211,732908.8,52474.04,26310.33,32857.41,18043.55,13507.44,19974.85,3948800,25525.72,15639.86,28983.05,3024.839,3840.783,31137.27,654.5176,654.5176,546623.7,404074,111560.5,3327380,90455.94,19015.47,2708926,38912.12,743720,820633.5,3157874,10888.83,8358.173,0,8570.64,439941.2,38181.75,167781.8,1.33E+07,276481.8,1308550,13538.34,1393.412,8298138,692.8095,7629.113,1244.883,2213402,153531.6,143589.8,5621.119,2204712,176417.1,173186.4,490.6852,198214.9,79386.58,18883.61,3620.747,79383.4,232642.1,1202082,15288.57,445.5302,0,24106.54,675.8761,107671.1,2243.102,65609.21,850838.4,42574.5,0,20533.93,15228.27,0,1722.833,956.5025,1942.403,5781.486,1344.726,0
endemic,lancifolium,0.107,TB,5300834,2311523,1.40E+07,1078616,3826501,7.99E+07,68547.66,699.9888,336485.6,4481924,3925931,5305080,2571430,263023.5,86718.71,26997.34,3791287,567368.3,233902.2,8170432,5.05E+07,701583.6,1.76E+07,4.94E+08,13697.42,1.79E+07,26148.4,299956.9,169141.3,1347.245,3893105,4311690,261864.8,23324.21,8270962,25334.86,577800.3,166147.5,12482.73,424.8513,42198.09,5360958,13773.58,5021947,42273.09,33086.5,51145.68,94456.48,38900.79,84235.37,1.87E+07,37117.24,33901.89,120173.5,8213.543,4716.654,285420.8,16103.3,16103.3,6877004,2408483,395571.3,1.72E+07,781883.8,6885.68,3162564,107402.2,709828.8,3193515,4.71E+07,67079.18,26929.03,132401.1,66386.12,232215.5,48302.35,607442.5,1.95E+07,278864,3557665,19540.75,134168.6,1.34E+07,739.4265,12073.65,10939.11,7123156,364560.4,709.5153,49710.38,1650.239,1266854,45831.34,4278.904,628033.1,748649.2,296250.8,15539.74,126928.9,452750.6,690573.2,31557.62,0,11874.33,76437.7,7179.965,6383.988,58129.42,79240.96,575752.4,9059015,49829.94,298648.4,191867.7,40630.38,2679.455,16010.45,88270.63,930562.5,1426.18,17763.22
endemic,lancifolium,0.107,TB,1.52E+07,4722197,1.54E+07,1950224,6712178,1.07E+08,65478.56,816.572,765176.1,1.19E+07,5997290,1.57E+07,6685364,801693,156854.7,53610.5,8563701,1235979,496237.7,1.40E+07,5.43E+07,1403193,2.44E+07,7.18E+08,38948.09,2.70E+07,158758.7,338836.2,230458.1,7189.779,9337205,7420080,433986.9,93083.46,1.72E+07,69758.53,1151748,160592.8,11386.75,3736.603,52650.17,3553591,60415.75,9439123,67457.75,46792.21,49521.7,95229.84,40066.32,94005.85,3.03E+07,45223.78,218799.8,92040.88,12622,8578.962,874415.5,12245.83,12245.83,6958878,6539538,520658,2.93E+07,2326019,7983.257,7683318,490089.4,703062.3,7860756,8.86E+07,91239.74,93542.84,44481.24,58602.32,363579.2,92277.34,1506452,1.61E+07,547124.6,1.17E+07,91018.22,230158.4,1.87E+07,1494.051,14661.85,2546.471,1.14E+07,737434.8,3054.542,85533.6,5513.751,1138242,85158.6,3318.097,520633.8,451547.6,178515.8,20442.88,1790027,656613.9,1157547,142096.1,0,9344.342,171522.9,432413.7,28451.65,139580.8,110687.7,1814815,5.18E+07,2239773,2072116,121515.2,88631.88,2004.19,32971.85,121720,1816984,157202.7,38194.44
endemic,decumbens,0.022,PB,2.22E+07,3895316,1.73E+07,6254780,6258476,6.35E+07,98689.57,1109.523,563509.9,3.20E+07,6019598,2.05E+07,2713911,341900.8,74130.23,75769.93,2.22E+07,2159176,930071.3,7851958,8.16E+07,2079699,2.71E+07,5.83E+08,12820.09,1.57E+07,78629.62,359399.1,285883.2,0,4.00E+07,1.74E+07,376050.7,39832.47,3.16E+07,1.53E+07,1452312,161841.2,22820.49,32162.62,70124.38,63402.38,62672.53,4576088,41171.41,33641.55,24620.37,90683.32,10009.83,245650.1,1.80E+07,46441.88,402508.8,27096.23,8727.669,13272.1,312911.6,2759.956,2759.956,1.06E+07,1.24E+07,717583.6,4.15E+07,1594302,1838023,5426838,875866.6,71468.34,4353280,5.73E+07,31610.71,252037.2,76894.32,34841.98,129199.1,2890.194,1300160,1.02E+08,416663.8,5523782,57589.93,307984.1,1953127,557.5255,123179.2,1347.943,1.30E+07,387291.3,17093.26,349549.4,41762.52,746348.4,117456.8,6751.877,1731941,408876.7,463560.3,15385.98,2661054,513450.4,1746202,291732.4,639.9925,11870.69,214348.8,1954536,22676.64,102359.4,222939.3,5222058,6159852,1172866,597757.1,126999.7,9551.801,18306.85,102802.2,22522.37,897794.2,424319.7,43352.89
endemic,decumbens,0.022,PB,2.07E+07,5281858,1.68E+07,5300514,4967487,4.30E+07,96962.38,826.817,468477.8,1.97E+07,6302418,9182366,3178005,535254.9,88268.09,138630.7,2.03E+07,565122.1,801495.8,1.05E+07,5.73E+07,1431167,6394122,4.44E+08,17266.56,1.14E+07,18657.77,404915.6,286604,1049.331,1.62E+07,2.72E+07,339063.2,19224.13,1.71E+07,1.27E+07,1523415,204898.5,2743.497,30028.77,48423.52,51927.84,52094.53,2768881,76405.23,39251.91,14901.04,68652.75,16786.13,153613.8,1.10E+07,31009.44,365541.1,13362.11,1836.066,8522.581,162764.8,691.8306,892.6223,5404408,2691537,331056.9,2.99E+07,1068069,5879568,7523158,248460.3,66838.09,2585197,2.58E+07,35800.39,280332.7,7214.067,64151.66,77754.85,107729.6,981910.1,2.07E+07,1418429,5413804,114185.5,71531.15,2529993,728.9695,22832.93,1445.119,8537023,246018,2111.739,700291.8,16534.98,565387.1,42386.45,1045.824,882153.2,160293.7,311351.3,46395.14,692473.3,299169.6,508946,113136.7,3941.34,11181.66,123443.9,1055549,5372.368,58235.59,57951.54,4755258,2244386,145580,784351.9,17517.97,3071.494,22925.72,50615.81,63875.17,537993,121019.2,18269.29
widespread,cuneatum,0.125,PB,1.11E+07,2683240,1.44E+07,2865170,3991158,5.04E+07,97820.31,2086.798,621855.2,1.07E+07,2995193,4917812,2829902,406863.6,76582.22,53600.16,4231640,1226279,378124.9,4589920,1.69E+07,504424.3,4742644,3.12E+08,16211.15,1.51E+07,45411.39,270982.5,707432.5,0,1.16E+07,9178269,230011.5,26324.74,1.14E+07,3169903,1170114,153728.2,17283.57,6399.399,59066.33,51427.48,9128.8,3210606,167052.6,31529.96,11236.38,49213.2,20629.26,69024.55,1.61E+07,19558.02,55315.96,11530.75,4136.014,8182.041,198845.6,1411.707,1411.707,1759355,6554316,584865.2,1.08E+07,358316.1,158933.7,2969569,88672.9,68202.02,1187401,2.86E+07,12261.92,17144.92,1573.776,27821.96,479894.5,125523.1,289718,2.82E+07,205944.5,1031763,24228.88,13163.65,9646173,512.7021,15072.9,2156.767,7029026,276813.9,36053,145335.5,152703.7,368610.5,140547.4,1512.322,316863.6,64842.59,18309.79,10416.05,1054158,361730.9,1255928,56492.84,5026.918,0,83601.51,315705.6,15190.66,9235.696,92639.1,1605439,290870.7,13320.88,318099.2,36070.88,0,11883.25,23816.06,2864.305,341216.1,122502.7,4173.109
widespread,cuneatum,0.125,PB,7218364,2482212,1.19E+07,1494290,3739917,4.69E+07,55511.46,1692.063,332531.4,8649175,2253521,6323738,2393714,334116,59152.98,70626.34,5034304,883905.6,293229,2981066,2.29E+07,350808.5,6867042,3.41E+08,9293.062,1.28E+07,36000.27,316288.8,382064.7,5721.145,1.04E+07,1.20E+07,160730.2,21697.59,1.11E+07,1.30E+07,536264.2,234090.4,19739.78,3009.262,52141.52,28042.11,27167.83,1400788,223691.5,33081.79,9160.588,38444.11,13928.24,52915.59,7371668,31980.12,33305.76,206886.7,4006.132,3359.347,203812.9,1007.638,1007.638,2580387,4325498,190581,8465194,289106.7,19634.8,4790708,93701.15,73775.7,1160838,2.03E+07,18859.09,20901.44,0,19045.67,200243,52770.05,431036.2,5.58E+07,174361.5,1339771,17538.65,29009.58,7964518,0,11994.13,1204.745,4974744,174096.8,15877.16,186941.3,100191.2,84809.63,103163.2,3747.963,307488.8,30030.74,34874.3,11369.64,587413.1,300527.2,974599.6,29529.23,2002.69,631.0724,22705.86,296018,32133.34,17990.37,58530.81,1726983,901557.7,23134.37,81891.13,16729.48,0,9473.704,3106.206,3750.359,77821.69,63415.61,10134.93
endemic,decumbens,0.022,OM,8402779,2671161,1.43E+07,3596091,3764479,3.77E+07,38104.58,3983.766,273910,1.01E+07,2294091,5260452,1968166,220754.8,59221.36,44713.45,6593576,594622.6,421859.9,2766203,2.09E+07,768110.8,1.10E+07,3.67E+08,10319.39,6620514,17985.87,229955,130628.2,0,6622384,8255844,241163.4,29377.39,6339222,8543571,606465.4,191803.4,2311.298,10348.44,41183.86,44700.18,5537.424,1516604,73201.66,29957.83,6480.589,15804.55,22029.52,36768.25,4642680,25937.8,111384.7,15287.69,2980.547,6138.744,125290.7,952.8052,952.8052,5544666,2824275,136650.2,1.59E+07,861647.8,47823.48,2704864,498253.1,73400.53,1871132,1.86E+07,15797.85,149991.9,15225.06,20716.4,231472,126518.8,345579.8,2.86E+07,105769.8,1651249,18168.27,42831.08,7094854,630.8055,33959.64,992.8521,4921734,232811.9,647.3946,95663.9,9427.455,789529.7,31665.64,557.0463,683786.4,117108.5,51964.18,16295.6,209493.4,233296.9,621408.6,25737.24,931.0034,3521.485,102695,263868.8,4994.991,69083.88,82652.31,1397130,2953555,81628.51,0,72218.84,5057.663,2408.999,38481.36,6557.699,485747.9,128545.4,13516.66
endemic,decumbens,0.022,OM,3311246,3106342,1.82E+07,4182067,5263216,5.23E+07,44968.14,2185.741,272555.4,1.06E+07,3076965,9921953,2797330,166571.2,75862.89,77556.99,1.07E+07,928820.5,420176.8,3567395,3.20E+07,1157269,2.30E+07,4.52E+08,15753.14,7978908,22430.41,276052.7,220555.6,0,3674778,1.27E+07,320436.9,16973.18,1.50E+07,1.64E+07,663163.9,158625.2,2549.287,19607.37,49729.74,71053.82,5940.551,2626426,120365.5,33329.89,5800.002,26543.19,29520.77,47007.4,6643818,32854.33,166767.7,23554.16,5618.926,17222.58,223341.8,4820.666,4820.666,3824878,4538050,174484.8,2.31E+07,1492314,30846.43,3253478,754452.7,61593.23,3918173,2.45E+07,20657.52,304925.5,14630.7,47043.19,202345.1,199045.2,626879.6,1.59E+07,147812.6,2901543,9146.024,33333.24,1.13E+07,764.1813,49625.42,1302.407,8137468,350652.7,818.9446,62689.31,10267.18,1104765,33510.39,1073.76,622546.8,172500.8,99031.06,100729.3,248071,253712.2,353767.8,38361.9,0,6222.958,166686.2,15402.62,5347.65,97072.27,29010.1,4542320,5081138,128929,1154491,26531.17,9656.286,1158.134,52666.86,17881.27,564990.2,263744,18518
endemic,decumbens,0.022,CA,1.40E+07,2380838,3.54E+07,2490754,5147626,7.46E+07,105241.3,261925.3,408771.7,1.39E+07,4717316,8931995,2695625,254375,321006.5,91521.28,1.05E+07,1353248,290366.4,9165116,3.15E+07,853448.3,9415843,3.20E+08,16948.51,1.39E+07,43055.58,367302.1,210768.3,0,2.40E+07,1.60E+07,240304.6,27923,1.96E+07,1.07E+07,1010372,1763355,8880.569,20612.71,228481.6,82294.93,4662.978,1206602,50917.79,23185.76,2958.613,95342.49,16691.76,164260.3,1.16E+07,229009.7,1605505,25108.9,11227.4,28863.37,130958.2,5103.197,5103.197,2528977,6564078,247905.1,1.60E+07,2171109,3061607,1338726,331030.2,65259.41,3404292,5.40E+07,25271.3,107884.1,58518.21,61622.23,67508.32,92483.79,361511,6.22E+07,300292.1,3680357,10666.83,15704.29,3530940,97475.03,153808.5,17517.78,4324708,150946.8,26136.22,191925,73901.16,84639.51,527018.3,1028.257,1123231,27047.36,110500.6,7299.168,1076599,182819.7,2114250,117677.6,532.9883,1792.419,61035.94,430450.2,12566.19,18059.48,170081.1,3143573,566303.4,45193.99,1504016,61870.76,0,23586.94,16273.45,17122.85,213406.8,27036.04,12090.43
endemic,decumbens,0.022,CA,8638401,1512389,1.52E+07,2564480,2922921,4.11E+07,46104.3,1552.466,172461.9,1.34E+07,1457860,5936968,1874747,157947,42924.42,46097.19,8026452,201632.9,223380.8,1678387,1.58E+07,598068.3,1057358,3.07E+08,8269.474,6162354,9484.212,287372.6,94166.41,0,4459566,8266994,69906.03,27641.36,3506886,6855298,298476.9,193656,2174.029,1723.106,55615.22,31324.87,4820.524,1038434,16293.13,25026.59,9017.974,14829.8,22753.67,63047.62,4088063,26098.25,67656.7,22525.09,1969.498,2672.183,84412.81,229509.2,229509.2,5233169,411562,114571,1.33E+07,1238556,2544062,865915.2,589704,59423.87,2622308,2.67E+07,10753.51,152939.4,115359.1,13585.25,31520.48,5228.097,253641.5,6531274,158010.2,1923446,16193.77,6454.262,737289.3,604.919,41324.66,213679.3,3281311,183178.7,1033.956,233303.9,4920.312,373473.9,17384.37,507.259,1031483,110484.8,32736.93,6068.432,197414.3,209724.8,248422,73158.16,0,31750.95,125387.2,795513.6,1731.738,32735.68,58594.88,1291480,1345841,46916.04,115608.2,80235.9,0,9991.64,28930.96,5166.814,185819.1,37633.57,5714.328
widespread,cuneatum,0.125,CA,6562232,2296089,1.48E+07,1538312,3285987,4.92E+07,39950.36,722.6453,361369.8,5932804,1693642,5688198,2912936,284826.4,69636.12,18175.17,2752921,1307313,282469.1,3134871,4251208,435494.9,1.01E+07,4.63E+08,6583.533,8666000,28385.01,316429.4,152999,0,1.06E+07,3805129,189283.9,3493.343,1.01E+07,7162386,577107.9,218952.7,31659.13,7708.457,75566.94,16444.39,5555.816,2490534,61499.66,45566.09,18138.63,65112.69,16858.83,43058.24,1.14E+07,18684.62,38196.21,286786.7,7075.551,14191.01,180917.9,979.0249,979.0249,2139446,6731748,122637.1,9370821,86169.83,7775.504,2454088,63666.14,53182.29,4574418,2.71E+07,12378.48,23045.87,4004.13,8876.747,302513.5,72933.73,279727.2,5.11E+07,175389.3,3128466,22083.04,845.9606,7152634,777.5516,34723.28,1038.48,3209325,200361.3,5180.153,23821.91,36307.51,216207.1,120346.2,3078.974,309771.5,49895.17,0,6180.387,307641.1,205199.7,1177521,38990.84,1954.192,0,29019.47,37588.1,7276.879,12184.68,81996.23,2351696,346622.6,13827.65,69953.96,30639.08,0,5243.919,8551.764,23164.52,187534.9,34257.66,13247.12
widespread,cuneatum,0.125,CA,1.49E+07,2900593,1.20E+07,945067.7,3761739,5.35E+07,116691,1019.964,615895,2.03E+07,3430248,8153086,3504597,359356.1,91733.73,49450.25,3563548,1032680,285981,5279302,2.52E+07,589631.3,1.03E+07,4.72E+08,15047.16,1.47E+07,89550.06,191197.5,183763.1,2294.692,2.07E+07,8226400,240436,33249.88,1.46E+07,9001371,659082.2,233222.9,22036.92,3890.679,61055.39,39142,8487.361,4101698,169256.2,32433.68,16799.22,40833.66,14045.92,100446.7,1.44E+07,31268.45,35151.59,183221.6,4918.878,9036.433,283817.7,23441.05,23441.05,3043315,5296932,475364.1,1.27E+07,382291,7247.223,3707026,74668.91,49149.25,4204324,3.32E+07,12513.32,90891.73,13357.82,14935.89,216022.1,176577.4,449125.5,3.30E+07,166380.3,2923560,26566.95,2409.281,1.02E+07,1404.989,49305.91,3860.49,6389558,306539.5,3736.851,44561.43,22815.3,290337.4,49527.88,2436.599,670455.3,47924.4,40515.21,22402.87,1570634,388331.5,665623.6,59745.94,2533.904,0,75874.48,361628.4,6915.213,23096.17,70304.04,3357027,2316947,148862.9,114499.2,21321.31,0,13002.78,24179.97,9548.955,293820.8,52164.19,16584.75
widespread,cuneatum,0.125,OM,1.88E+07,5105544,1.09E+07,3765647,6482282,4.49E+07,95774.77,2549.814,897125.3,1.65E+07,3161005,6157254,2741514,614653.6,82539.75,95673.37,5777774,867158.7,485788.4,5607998,1.78E+07,431364.1,9765849,3.72E+08,17521.97,1.23E+07,24183.9,210309.6,132202.7,1301.751,1.93E+07,1.67E+07,277663.1,9643.569,1.78E+07,2646578,1242871,203462,25639.96,8713.177,82405.68,38064.82,10581.11,3118256,530006,32526.41,15581.26,43113.07,24983.29,64019.33,1.58E+07,30299.42,38388.79,226776.5,6851.855,10477.74,342907.3,1021.651,1021.651,7501036,4199264,200671,9720335,218367.2,1477284,4582370,60984.88,52841.2,2700158,2.92E+07,38926.5,28726.33,12100.96,35743.6,190418,40328.59,578641.2,7.01E+07,259509.2,3843361,36219.61,9959.612,8723547,857.438,34728,808.8107,8376490,244204.5,5326.852,344447.5,34216.48,692175.6,71923.84,3202.332,686632.9,129210.5,12880.95,9230.275,460472.3,330629.6,859830.3,103085.8,12147.78,1840.418,157281.6,1074613,6434.391,61553.04,164005.7,1.05E+07,965210,47362.74,56697.97,88404.03,2801.495,11544.21,138231.7,33147.54,582241.3,289296,17695.15
